"","DistNo.","nX","P2","Q","TruROP","Method","Mean"
"505","22","7","0.8","46","143.312038860808","boot","141.831812556895"
"506","22","7","0.85","63","144.888678174078","boot","141.787026793564"
"507","22","7","0.9","95","146.785572716785","boot","141.82535383263"
"508","22","7","0.95","110","149.500532625013","boot","142.503306843697"
"509","22","7","0.98","195","152.415110848815","boot","142.715783655229"
"510","22","7","0.99","235","154.29033311099","boot","142.902985411368"
"511","22","12","0.8","46","143.312038860808","boot","145.760445635723"
"512","22","12","0.85","63","144.888678174078","boot","145.734636727943"
"513","22","12","0.9","95","146.785572716785","boot","145.700392493572"
"514","22","12","0.95","110","149.500532625013","boot","146.384856450454"
"515","22","12","0.98","195","152.415110848815","boot","146.695591540545"
"516","22","12","0.99","235","154.29033311099","boot","146.996350798498"
"517","22","24","0.8","46","143.312038860808","boot","146.999709607251"
"518","22","24","0.85","63","144.888678174078","boot","146.925179366722"
"519","22","24","0.9","95","146.785572716785","boot","146.911303331517"
"520","22","24","0.95","110","149.500532625013","boot","147.945587644198"
"521","22","24","0.98","195","152.415110848815","boot","148.423782716798"
"522","22","24","0.99","235","154.29033311099","boot","148.919789468274"
"523","22","30","0.8","46","143.312038860808","boot","147.519792549412"
"524","22","30","0.85","63","144.888678174078","boot","147.460067958652"
"525","22","30","0.9","95","146.785572716785","boot","147.454431860121"
"526","22","30","0.95","110","149.500532625013","boot","148.53591480857"
"527","22","30","0.98","195","152.415110848815","boot","149.082775117778"
"528","22","30","0.99","235","154.29033311099","boot","149.651133782694"
"529","1","7","0.8","18","120.443385270797","normal","99.2320500349412"
"530","1","7","0.85","25","123.810390859889","normal","99.2320500349412"
"531","1","7","0.9","38","127.198468246777","normal","99.2857830454313"
"532","1","7","0.95","44","130.605068534566","normal","105.03225445525"
"533","1","7","0.98","78","132.647821749821","normal","115.491836247274"
"534","1","7","0.99","94","133.318220146531","normal","122.145804779449"
"535","1","12","0.8","18","120.443385270797","normal","100.15432973132"
"536","1","12","0.85","25","123.810390859889","normal","100.15432973132"
"537","1","12","0.9","38","127.198468246777","normal","100.179832792916"
"538","1","12","0.95","44","130.605068534566","normal","107.138044183227"
"539","1","12","0.98","78","132.647821749821","normal","117.737372978573"
"540","1","12","0.99","94","133.318220146531","normal","124.472438466558"
"541","1","24","0.8","18","120.443385270797","normal","99.4882340518856"
"542","1","24","0.85","25","123.810390859889","normal","99.4882340518856"
"543","1","24","0.9","38","127.198468246777","normal","99.497451300635"
"544","1","24","0.95","44","130.605068534566","normal","106.781463174951"
"545","1","24","0.98","78","132.647821749821","normal","117.561809016156"
"546","1","24","0.99","94","133.318220146531","normal","124.407937881866"
"547","1","30","0.8","18","120.443385270797","normal","99.4401527572219"
"548","1","30","0.85","25","123.810390859889","normal","99.4401527572219"
"549","1","30","0.9","38","127.198468246777","normal","99.4401527572219"
"550","1","30","0.95","44","130.605068534566","normal","106.864638040155"
"551","1","30","0.98","78","132.647821749821","normal","117.705660546394"
"552","1","30","0.99","94","133.318220146531","normal","124.593247110272"
"553","2","7","0.8","31","134.227834144048","normal","100.459700248368"
"554","2","7","0.85","42","139.904598034569","normal","101.539471384279"
"555","2","7","0.9","63","145.573819311801","normal","108.734105713406"
"556","2","7","0.95","73","151.322119877744","normal","123.058988068505"
"557","2","7","0.98","130","154.712315573348","normal","138.963168335675"
"558","2","7","0.99","156","155.861502675568","normal","149.321535865408"
"559","2","12","0.8","31","134.227834144048","normal","99.8991965518544"
"560","2","12","0.85","42","139.904598034569","normal","99.8991965518544"
"561","2","12","0.9","63","145.573819311801","normal","100.051393654799"
"562","2","12","0.95","73","151.322119877744","normal","111.861260904926"
"563","2","12","0.98","130","154.712315573348","normal","129.642424712776"
"564","2","12","0.99","156","155.861502675568","normal","140.929359244672"
"565","2","24","0.8","31","134.227834144048","normal","99.2140364985648"
"566","2","24","0.85","42","139.904598034569","normal","99.2140364985648"
"567","2","24","0.9","63","145.573819311801","normal","99.2324104600502"
"568","2","24","0.95","73","151.322119877744","normal","111.345656754388"
"569","2","24","0.98","130","154.712315573348","normal","129.24655614944"
"570","2","24","0.99","156","155.861502675568","normal","140.615175970489"
"571","2","30","0.8","31","134.227834144048","normal","100.088627629141"
"572","2","30","0.85","42","139.904598034569","normal","100.088627629141"
"573","2","30","0.9","63","145.573819311801","normal","100.126545320112"
"574","2","30","0.95","73","151.322119877744","normal","112.537585001497"
"575","2","30","0.98","130","154.712315573348","normal","130.575233690518"
"576","2","30","0.99","156","155.861502675568","normal","142.037240919427"
"577","3","7","0.8","46","151.632264570333","normal","101.895047363441"
"578","3","7","0.85","63","160.255981300306","normal","102.459560894295"
"579","3","7","0.9","95","168.811709997337","normal","111.938011051453"
"580","3","7","0.95","110","177.392627523281","normal","134.610113940405"
"581","3","7","0.98","195","182.571128006578","normal","159.591603940254"
"582","3","7","0.99","235","184.292109414414","normal","175.814132043853"
"583","3","12","0.8","46","151.632264570333","normal","102.1993687446"
"584","3","12","0.85","63","160.255981300306","normal","102.1993687446"
"585","3","12","0.9","95","168.811709997337","normal","102.257566363983"
"586","3","12","0.95","110","177.392627523281","normal","119.460193585015"
"587","3","12","0.98","195","182.571128006578","normal","145.953727293109"
